#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,,"22514,20416",,,122,
127,Malta,"115,703",,808                                ,,"114,274",,621,4,"260,573","1,820","2,087,137","4,700,410","444,033 ",Europe,,45500,,,"1,399",
128,Barbados,"103,545",,564                                ,,"102,435",,546,,"359,503","1,958","773,895","2,686,921","288,023 ",North America,,35110,,,"1,896",
129,Angola,"103,131",,"1,917                                ",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343 ",Africa,,"34018,27223",,,2,
130,Channel Islands,"95,255",,207                                ,,"94,593",,455,,"539,802","1,173","1,252,808","7,099,551","176,463 ",Europe,,28520,,,"2,578",
131,French Guiana,"94,729",,411                                ,,"11,254",,"83,064",2,"301,522","1,308","651,257","2,072,951","314,169 ",South America,,37640,,,"264,393",
132,DRC,"93,837",,"1,452                                ",,"83,590",,"8,795",,985,15,"846,704","8,890","95,240,792 ",Africa,,"1,01565,593112",,,92,
133,Senegal,"88,859",,"1,968                                ",,"86,858",,33,,"5,033",111,"1,146,543","64,946","17,653,671 ",Africa,,"1998,97015",,,2,
134,Malawi,"88,073",,"2,685                                ",,"85,008",,380,67,"4,364",133,"623,272","30,884","20,180,839 ",Africa,,"2297,51632",,,19,
135,Ivory Coast,"87,870",,830                                ,,"87,025",,15,,"3,167",30,"1,649,487","59,457","27,742,298 ",Africa,,"31633,42417",,,0.5,
136,Suriname,"81,228",,"1,392                                ",,N/A,N/A,N/A,,"136,099","2,332","239,603","401,459","596,831 ",South America,,74292,,,"50,580",
137,French Polynesia,"76,827",,649                                ,,N/A,N/A,N/A,7,"270,361","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"150,188",
138,New Caledonia,"74,682",,314                                ,,"74,085",,283,9,"256,714","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,973,
139,Eswatini,"73,770",,"1,422                                ",,"72,255",,93,,"62,263","1,200","1,047,886","884,429","1,184,817 ",Africa,,168331,,,78,
140,Guyana,"71,545",,"1,283                                ",,"70,175",,87,,"90,102","1,616","704,859","887,681","794,045 ",South America,,116191,,,110,
141,Belize,"68,988",,687                                ,,"68,291",,10,6,"167,369","1,667","576,016","1,397,453","412,190 ",North America,,66001,,,24,
142,Fiji,"68,307",,878                                ,,"66,351",,"1,078",,"75,107",965,"664,856","731,040","909,466 ",Australia/Oceania,,"131,0361",,,"1,185",
143,Madagascar,"67,054",,"1,411                                ",,"65,379",,264,,"2,298",48,"517,050","17,720","29,178,077 ",Africa,,"43520,67956",,,9,
144,Sudan,"63,617",,"4,986                                ",,"57,886",,745,,"1,383",108,"562,941","12,240","45,992,020 ",Africa,,"7239,22482",,,16,
145,Mauritania,"63,419",,997                                ,,"62,410",,12,,"12,937",203,"1,006,617","205,349","4,901,981 ",Africa,,"774,9175",,,2,
146,Cabo Verde,"62,828",,410                                ,,"62,232",,186,23,"110,675",722,"401,622","707,482","567,678 ",Africa,,"91,3851",,,328,
147,Bhutan,"62,488",,21                                ,,"61,564",,903,,"79,305",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,146",
148,Syria,"57,389",,"3,163                                ",,"54,219",,7,,"2,964",163,"146,269","7,553","19,364,809 ",Asia,,"3376,122132",,,0.4,
149,Burundi,"50,639",,38                                ,,"50,418",,183,,"4,011",3,"345,742","27,386","12,624,840 ",Africa,,"249332,23337",,,14,
150,Seychelles,"49,380",,171                                ,,"48,626",,583,,"496,651","1,720",,,"99,426 ",Africa,,2581,,,"5,864",
151,Gabon,"48,972",,306                                ,,"48,491",,175,,"21,004",131,"1,620,866","695,193","2,331,533 ",Africa,,"487,6191",,,75,
152,Andorra,"46,824",,156                                ,,"46,457",,211,14,"604,469","2,014","249,838","3,225,256","77,463 ",Europe,,24970,,,"2,724",
153,Papua New Guinea,"45,819",,668                                ,,"43,982",,"1,169",7,"4,931",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"20313,91037",,,126,
154,Curaçao,"45,536",,294                                ,,"44,720",,522,3,"275,094","1,776","496,693","3,000,640","165,529 ",North America,,45630,,,"3,154",
155,Aruba,"43,494",,235                                ,,"42,438",,821,2,"404,186","2,184","177,885","1,653,068","107,609 ",North America,,24581,,,"7,629",
156,Mauritius,"40,922",,"1,032                                ",,"39,160",,730,,"32,103",810,"358,675","281,374","1,274,727 ",Africa,,"311,2354",,,573,
157,Mayotte,"40,612",,187                                ,,N/A,N/A,N/A,,"141,872",653,"176,919","618,038","286,259 ",Africa,,"71,5312",,,"130,864",
158,Tanzania,"40,311",,845                                ,,N/A,N/A,N/A,7,637,13,,,"63,298,550 ",Africa,,"1,57074,910",,,621,
159,Togo,"39,323",,290                                ,,"39,023",,10,,"4,530",33,"800,648","92,232","8,680,837 ",Africa,,"22129,93411",,,1,
160,Guinea,"38,153",,464                                ,,"37,218",,471,8,"2,752",33,"660,107","47,607","13,865,691 ",Africa,,"36329,88321",,,34,
